#TYPE System.Management.Automation.PSCustomObject
"Name","ID","Club","Position","age","Projected_2017","2012_FirstHalf","2012_SecondHalf","2013_FirstHalf","2013_SecondHalf","2014_FirstHalf","2014_SecondHalf","2015_FirstHalf","2015_SecondHalf","2016_FirstHalf","2016_SecondHalf"
"Paul Puopolo","1215","Hawthorn","FWD","29","79.55","71.2727272727273","41.2857142857143","92.3333333333333","73","80.6666666666667","79.1","80.4545454545455","72.875","80.2222222222222","79"
"Paul Seedsman","1225","Adelaide Crows","MID","25","82.25075554","66","35.6","99.8571428571429","75.8888888888889","67.5","89","43.6666666666667","71","77.25","82.7272727272727"
"Matt Shaw","1226","Gold Coast Suns","MID","24","76.4531854","68.5","52.5555555555556","84.5714285714286","75.4545454545455","59.1","70.7","71.8888888888889","62.6666666666667","75.8","74.6666666666667"
"Billie Smedts","1229","Carlton","MID,FWD","24","42.50859392","58.4285714285714","41.1428571428571","64","58.7777777777778","47.2","12","32.5","51.5",,"64"
"Brodie Smith","1230","Adelaide Crows","DEF","25","83.08936045","77.3333333333333","65.8","83.6363636363636","77.2857142857143","91.5833333333333","103.2","84","70.625","79.8","84.1818181818182"
"Isaac Smith","1231","Hawthorn","MID,FWD","28","87.63636364","79.7272727272727","80.375","95.8181818181818","84.1","95.4545454545455","102.6","86.5833333333333","113.111111111111","85.6363636363636","89.6363636363636"
"Zac Smith","1232","Geelong Cats","RUC","26","81.98012348","65.8571428571429","74.6666666666667",,"75","73.4285714285714","72.3333333333333","97.4","73.8333333333333","77.6","83.9090909090909"
"David Swallow","1237","Gold Coast Suns","MID","24","96.99381548","72.2","87.8571428571429","82.8571428571429","75.8181818181818","101.75","105.7","98.5","94.5",,
"Rory Thompson","1240","Gold Coast Suns","DEF","25","65.66621239","78","71","78.5","82.0909090909091","65.1666666666667","62.5714285714286","46.2857142857143","51.2","67.3636363636364","54.6666666666667"
"Josh Walker","1246","Brisbane Lions","FWD","24","60.6633059","46.1428571428571",,"56",,"58","57","59.2","52.1666666666667","63.5","56.375"
"Mitch Wallis","1247","Western Bulldogs","MID,FWD","24","92.16148934","100.272727272727","100.625","76.2","81.5","71.1428571428571","57.3333333333333","108","99.5714285714286","87.3333333333333","93.0909090909091"
"Maverick Weller","1251","St Kilda","FWD","24","80.96875032","59.1111111111111","57.75","69",,"74.5","41.5","82.4545454545455","76.4444444444444","83.0909090909091","76.9090909090909"
